id,name,date,self_development,geo_flex,financial_support_self,result,course_interest
1,Stillmann Castano,22/08/2019,Yes,Yes,Yes,Pass,Business
2,Hilary Willmore,01/08/2019,No,Yes,Yes,Fail,Data
3,Efrem Whipple,22/08/2019,Yes,Yes,Yes,Pass,Business
4,Sydel Fenne,28/08/2019,Yes,Yes,Yes,Pass,Data
5,Michel Lebarree,07/08/2019,Yes,Yes,Yes,Pass,Engineering
6,Cooper Ingraham,14/08/2019,Yes,Yes,No,Fail,Business
7,Bird Le Count,22/08/2019,Yes,Yes,Yes,Fail,Business
8,Orly Lorens,01/08/2019,No,Yes,Yes,Fail,Business
9,Hannah Messum,29/08/2019,Yes,Yes,Yes,Fail,Data
10,Gavin Lambregts,21/08/2019,Yes,Yes,Yes,Pass,Data
11,Letta Halston,08/08/2019,Yes,Yes,Yes,Fail,Business
12,Rivalee Eagleton,08/08/2019,Yes,Yes,No,Fail,Engineering
13,Neda Marmyon,15/08/2019,Yes,Yes,Yes,Pass,Data
14,Kermy Caves,29/08/2019,Yes,No,Yes,Fail,Business
15,Edithe Dimitrov,07/08/2019,Yes,Yes,Yes,Pass,Engineering
16,Aubert Cicerone,06/08/2019,Yes,Yes,No,Fail,Data
17,Erastus Mcelrath,14/08/2019,Yes,No,No,Fail,Data
18,Edgar Annesley,28/08/2019,No,Yes,Yes,Fail,Data
19,Haslett Steet,07/08/2019,Yes,Yes,Yes,Pass,Engineering
20,Kirbee Clementet,08/08/2019,Yes,Yes,No,Fail,Engineering
21,Marcellina Ping,21/08/2019,Yes,Yes,Yes,Pass,Business
22,Violet Luscombe,14/08/2019,Yes,Yes,Yes,Pass,Data
23,Phillis Wabey,06/08/2019,Yes,Yes,Yes,Pass,Data
24,Maurice Yakhin,29/08/2019,Yes,Yes,Yes,Pass,Engineering
25,Wesley Tolerton,13/08/2019,No,Yes,Yes,Fail,Business
26,Brittaney Roughey,15/08/2019,Yes,Yes,Yes,Pass,Engineering
27,Saree Daens,15/08/2019,Yes,Yes,Yes,Pass,Engineering
28,Mona Willimott,08/08/2019,Yes,Yes,Yes,Pass,Engineering
29,Alvie Bleackly,01/08/2019,Yes,Yes,Yes,Pass,Engineering
30,Drud Tellenbrok,06/08/2019,Yes,Yes,Yes,Pass,Data
31,Deck Itzchaki,01/08/2019,Yes,Yes,Yes,Pass,Business
32,Charlie Danelut,14/08/2019,Yes,No,Yes,Fail,Data
33,Wilt Penritt,01/08/2019,No,Yes,Yes,Fail,Data
34,Stevie Houliston,15/08/2019,Yes,Yes,Yes,Pass,Engineering
35,Fairlie Cogzell,14/08/2019,Yes,Yes,Yes,Pass,Business
36,Beckie Aveling,22/08/2019,Yes,Yes,Yes,Fail,Business
37,Axe Mckall,15/08/2019,Yes,Yes,Yes,Pass,Business
38,Marcela Pass,27/08/2019,Yes,No,Yes,Fail,Business
39,Sauncho Aveson,13/08/2019,Yes,Yes,Yes,Pass,Data
40,Shamus Mccomish,15/08/2019,No,Yes,Yes,Fail,Engineering
41,Andy Lown,22/08/2019,Yes,Yes,Yes,Pass,Business
42,Arny Coorington,14/08/2019,Yes,Yes,Yes,Pass,Engineering
43,Devondra Blabey,15/08/2019,No,Yes,Yes,Fail,Engineering
44,Irita Lyptrit,07/08/2019,Yes,Yes,Yes,Pass,Engineering
45,Jae Rennolds,29/08/2019,Yes,Yes,Yes,Pass,Data
46,Marion Consadine,15/08/2019,Yes,Yes,Yes,Pass,Business
47,Leonore Pettiford,13/08/2019,Yes,Yes,Yes,Pass,Data
48,Edvard Northen,07/08/2019,Yes,Yes,Yes,Pass,Data
49,Oralla Peasgood,07/08/2019,Yes,No,Yes,Fail,Business
50,Ly Ferro,13/08/2019,Yes,No,Yes,Fail,Business
51,Lindsey Gerwood,29/08/2019,Yes,Yes,Yes,Fail,Data
52,Gianna Clevely,01/08/2019,Yes,Yes,Yes,Pass,Business
53,Celine Doree,15/08/2019,Yes,Yes,Yes,Pass,Data
54,Karlene Hughill,21/08/2019,Yes,Yes,Yes,Pass,Data
55,Sayre Webberley,14/08/2019,Yes,Yes,No,Fail,Engineering
56,Phyllys Baelde,15/08/2019,Yes,Yes,Yes,Pass,Data
57,Samuele Whear,20/08/2019,Yes,No,Yes,Fail,Business
58,Darcey Mordin,27/08/2019,Yes,Yes,Yes,Pass,Business
59,Pamelina Itzkovsky,13/08/2019,Yes,Yes,Yes,Pass,Engineering
60,Pamelina Itzkovsky,13/08/2019,Yes,Yes,Yes,Pass,Engineering
61,Laurel Gillogley,21/08/2019,Yes,No,Yes,Fail,Engineering
62,Quinta Cowdray,28/08/2019,Yes,Yes,Yes,Pass,Engineering
63,Cecile Lates,15/08/2019,Yes,Yes,Yes,Fail,Engineering
64,Seumas Lemonby,14/08/2019,Yes,Yes,Yes,Pass,Engineering
65,Gale Quartley,13/08/2019,Yes,Yes,Yes,Pass,Data
66,Dorrie Srutton,22/08/2019,No,Yes,Yes,Fail,Engineering
67,Benny Tichelaar,21/08/2019,No,No,Yes,Fail,Data
68,Avrit Gawith,15/08/2019,Yes,Yes,Yes,Pass,Business
69,Berti Dennehy,22/08/2019,Yes,Yes,Yes,Fail,Data
70,Rockey Robarts,14/08/2019,Yes,Yes,Yes,Pass,Engineering
71,Eloisa Ewert,21/08/2019,Yes,Yes,No,Fail,Business
72,Mireille Risom,21/08/2019,Yes,Yes,Yes,Pass,Data
73,Sharl Daggett,22/08/2019,Yes,Yes,Yes,Pass,Engineering
74,Nikolos Yashin,15/08/2019,Yes,Yes,Yes,Fail,Business
75,Shela Mccall,14/08/2019,Yes,Yes,Yes,Fail,Engineering
76,Sonnie Malenfant,14/08/2019,Yes,Yes,Yes,Pass,Business
77,Mahmud Molineux,20/08/2019,Yes,Yes,Yes,Pass,Business
78,Dylan Llewellen,29/08/2019,Yes,Yes,No,Fail,Data
79,Yvor Phalip,01/08/2019,Yes,Yes,No,Fail,Data
80,Berry Freed,29/08/2019,Yes,Yes,Yes,Pass,Business
81,Marielle Knivett,01/08/2019,Yes,No,Yes,Fail,Business
82,Emmanuel Deniske,15/08/2019,Yes,Yes,Yes,Pass,Data
83,Kerr Coucha,07/08/2019,Yes,Yes,Yes,Pass,Data
84,Dulci Mcgrayle,21/08/2019,Yes,Yes,Yes,Pass,Data
85,Shandee Blaschke,21/08/2019,No,Yes,Yes,Fail,Engineering
86,Paul Chislett,14/08/2019,Yes,Yes,No,Fail,Engineering
87,Florri Loughton,01/08/2019,No,Yes,Yes,Fail,Engineering
88,Hildy Landre,08/08/2019,No,Yes,Yes,Fail,Data
89,Berny Botler,06/08/2019,Yes,Yes,Yes,Pass,Data
90,Merell Tremmil,13/08/2019,Yes,Yes,Yes,Fail,Engineering
91,Ileana Chewter,21/08/2019,Yes,Yes,Yes,Pass,Business
92,Ilario Yeates,13/08/2019,No,Yes,Yes,Fail,Engineering
93,Winnie Lewerenz,06/08/2019,Yes,No,Yes,Fail,Business
94,Garwood Strowan,20/08/2019,No,Yes,Yes,Fail,Data
95,Herb Mcilmorie,08/08/2019,Yes,Yes,Yes,Pass,Data
96,Ingunna Adin,01/08/2019,Yes,Yes,Yes,Pass,Data
97,Frazier Bayston,29/08/2019,Yes,No,Yes,Fail,Data
98,Hewett Lamputt,13/08/2019,Yes,Yes,Yes,Pass,Engineering
99,Rodger Bendelow,22/08/2019,Yes,Yes,Yes,Pass,Data
100,Archer Hobben,14/08/2019,Yes,Yes,Yes,Fail,Business
101,Stephani Prettyman,22/08/2019,Yes,Yes,Yes,Pass,Engineering
102,Pepi Bome,20/08/2019,Yes,Yes,Yes,Pass,Engineering
103,Loella Lonnon,06/08/2019,Yes,Yes,No,Fail,Data
104,Darrin Stoffel,08/08/2019,Yes,Yes,Yes,Pass,Business
105,Mitchel Bates,14/08/2019,Yes,Yes,No,Fail,Engineering
106,Miles Water,08/08/2019,Yes,Yes,Yes,Pass,Business
107,Fanni Polhill,28/08/2019,Yes,Yes,Yes,Fail,Engineering
108,Genvieve Arnke,22/08/2019,No,Yes,Yes,Fail,Business
109,Alicia Hruska,28/08/2019,Yes,Yes,Yes,Pass,Business
110,Mella Aubin,15/08/2019,Yes,Yes,Yes,Pass,Data
111,George Huckstepp,06/08/2019,No,Yes,Yes,Fail,Engineering
112,Joelie Elfitt,29/08/2019,Yes,Yes,No,Fail,Business
113,Omar Rodrigo,27/08/2019,Yes,No,Yes,Fail,Engineering
114,Cal Loache,15/08/2019,Yes,Yes,Yes,Fail,Business
115,Tully Mcdoual,07/08/2019,Yes,Yes,Yes,Pass,Engineering
116,Molli Brayfield,22/08/2019,Yes,Yes,Yes,Pass,Data
117,Janaya Mawford,01/08/2019,Yes,Yes,Yes,Pass,Data
118,Lazarus Hooke,29/08/2019,No,Yes,Yes,Fail,Data
119,Sidney Le Batteur,08/08/2019,Yes,Yes,Yes,Pass,Data
120,Maryellen Vasovic,20/08/2019,Yes,Yes,Yes,Pass,Data
121,Winona Rubinowitz,29/08/2019,Yes,Yes,Yes,Pass,Engineering
122,Dur Plom,14/08/2019,Yes,Yes,Yes,Fail,Engineering
123,Gisela Aisbett,15/08/2019,Yes,Yes,Yes,Pass,Engineering
124,Appolonia Jovis,29/08/2019,Yes,No,No,Fail,Business
125,Diandra Dyhouse,27/08/2019,Yes,Yes,Yes,Pass,Business
126,Cornall Offer,01/08/2019,Yes,No,Yes,Fail,Data
127,Dominique Narbett,20/08/2019,Yes,Yes,Yes,Pass,Business
128,Gusti Horrod,27/08/2019,Yes,Yes,Yes,Pass,Data
129,Brnaby Bownes,01/08/2019,Yes,Yes,Yes,Pass,Engineering
130,Berky Bailey,28/08/2019,Yes,Yes,Yes,Pass,Business
131,Harriett Saffin,28/08/2019,Yes,Yes,Yes,Pass,Business
132,Pooh Christy,28/08/2019,Yes,Yes,Yes,Pass,Data
133,Tris Landrean,29/08/2019,Yes,Yes,Yes,Pass,Data
134,Derk Andress,13/08/2019,Yes,Yes,Yes,Pass,Business
135,Engelbert Vahl,21/08/2019,Yes,Yes,Yes,Pass,Data
136,Prentiss Godman,20/08/2019,Yes,Yes,Yes,Fail,Engineering
137,Angel Hulson,14/08/2019,Yes,Yes,Yes,Fail,Business
138,Mike Milliere,06/08/2019,Yes,Yes,Yes,Pass,Engineering
139,Gayleen Petru,14/08/2019,Yes,Yes,Yes,Pass,Business
140,Jozef Burr,07/08/2019,Yes,Yes,Yes,Pass,Engineering
141,Allina Grelka,28/08/2019,Yes,Yes,Yes,Pass,Engineering
142,Carr Kensall,20/08/2019,Yes,No,Yes,Fail,Business
143,Nil Macpaike,06/08/2019,Yes,Yes,Yes,Pass,Business
144,Jessie Petriello,06/08/2019,Yes,Yes,Yes,Pass,Engineering
145,George O'Duane,06/08/2019,Yes,Yes,Yes,Pass,Data
146,Mendie Mcbean,15/08/2019,Yes,Yes,Yes,Pass,Engineering
147,Roze Yepiskopov,21/08/2019,Yes,Yes,Yes,Pass,Engineering
148,Boote Moan,20/08/2019,Yes,Yes,Yes,Pass,Business
149,Tito Greiswood,20/08/2019,Yes,Yes,Yes,Pass,Engineering
150,Reg Vandenhoff,27/08/2019,Yes,Yes,Yes,Pass,Data
151,Ravid Leyninye,06/08/2019,Yes,Yes,Yes,Pass,Data
152,Ninetta Joyce,06/08/2019,Yes,Yes,Yes,Pass,Data
153,Rozalin Summerscales,28/08/2019,Yes,Yes,Yes,Pass,Engineering
154,Rafi Andrzejczak,07/08/2019,Yes,No,Yes,Fail,Business
155,Rafi Andrzejczak,07/08/2019,Yes,No,Yes,Fail,Business
156,Mead Stolting,29/08/2019,Yes,No,Yes,Fail,Data
157,Chickie Kezar,21/08/2019,Yes,Yes,No,Fail,Business
158,Cornall Wastall,15/08/2019,Yes,Yes,Yes,Pass,Engineering
159,Carlin Stellino,20/08/2019,Yes,Yes,No,Fail,Engineering
160,Sherline Cudihy,01/08/2019,Yes,Yes,Yes,Pass,Data
161,Burnard Fielden,21/08/2019,Yes,No,Yes,Fail,Data
162,Valle Humby,21/08/2019,Yes,Yes,Yes,Pass,Engineering
163,Jillie Howles,27/08/2019,Yes,Yes,No,Fail,Data
164,Chucho Galfour,13/08/2019,Yes,Yes,Yes,Pass,Engineering
165,Orland Glaisner,13/08/2019,Yes,Yes,Yes,Pass,Engineering
166,Luz Gasparro,08/08/2019,Yes,Yes,Yes,Pass,Engineering
167,Melesa Mault,07/08/2019,Yes,No,Yes,Fail,Data
168,Trudie Kiellor,06/08/2019,Yes,Yes,Yes,Pass,Data
169,Nancie Sazio,15/08/2019,Yes,Yes,Yes,Pass,Engineering
170,Welby Wishkar,14/08/2019,Yes,Yes,Yes,Fail,Business
171,Carce Capel,28/08/2019,No,Yes,Yes,Fail,Business
172,Oralia Barrat,27/08/2019,Yes,Yes,Yes,Pass,Data
173,Katuscha Ransfield,07/08/2019,Yes,No,Yes,Fail,Engineering
174,Norene Fierro,01/08/2019,Yes,No,Yes,Fail,Business
175,Mylo Sudell,06/08/2019,Yes,Yes,Yes,Pass,Data
176,Shannon Hartman,21/08/2019,Yes,Yes,Yes,Fail,Engineering
177,Blakeley Strood,06/08/2019,Yes,Yes,Yes,Pass,Data
178,Rafi Downse,21/08/2019,Yes,Yes,Yes,Pass,Engineering
179,Demetrius Tunstall,07/08/2019,Yes,Yes,Yes,Pass,Engineering
180,Melinde Darton,21/08/2019,Yes,Yes,Yes,Pass,Business
181,Dulcea Perl,22/08/2019,Yes,Yes,Yes,Pass,Engineering
182,Milton Conaghan,08/08/2019,Yes,Yes,Yes,Pass,Engineering
183,Chere Siddens,29/08/2019,No,Yes,No,Fail,Business
184,Putnem Hessing,08/08/2019,Yes,Yes,Yes,Pass,Data
185,Timmi Haveline,22/08/2019,Yes,Yes,Yes,Pass,Business
186,Garald Banasevich,08/08/2019,Yes,Yes,Yes,Pass,Data
187,Anselma Pavelin,21/08/2019,Yes,Yes,Yes,Fail,Business
188,Querida Antonacci,29/08/2019,Yes,Yes,Yes,Pass,Data
189,Leda Aharoni,13/08/2019,Yes,Yes,Yes,Pass,Business
190,Norri Temby,27/08/2019,Yes,Yes,Yes,Pass,Engineering
191,Margery Winspur,07/08/2019,Yes,Yes,Yes,Pass,Data
192,Bord Ollin,14/08/2019,Yes,Yes,No,Fail,Business
193,Dodie Lassells,27/08/2019,Yes,Yes,Yes,Pass,Data
194,Corie Snodin,22/08/2019,Yes,Yes,No,Fail,Data
195,Arron Cuerdall,08/08/2019,Yes,Yes,Yes,Pass,Engineering
196,Josh Youens,08/08/2019,Yes,Yes,Yes,Pass,Engineering
197,Aldo Bradnum,27/08/2019,Yes,Yes,Yes,Pass,Engineering
198,Xymenes Pretor,07/08/2019,Yes,Yes,Yes,Pass,Engineering
199,Heinrik Allwell,08/08/2019,Yes,Yes,Yes,Pass,Business
200,Bob Rogerson,07/08/2019,Yes,Yes,Yes,Pass,Data
201,Neall Mayor,07/08/2019,Yes,Yes,No,Fail,Data
202,Ilysa Kiggel,07/08/2019,Yes,Yes,Yes,Pass,Data
203,Melisse Craze,20/08/2019,Yes,Yes,Yes,Fail,Data
204,Petronille Dougharty,29/08/2019,No,Yes,Yes,Fail,Business
205,Urbano Reinisch,13/08/2019,Yes,Yes,Yes,Pass,Engineering
206,Noami Edworthye,20/08/2019,No,Yes,Yes,Fail,Business
207,Cynthia Jenny,06/08/2019,Yes,No,Yes,Fail,Business
208,Ivett Prop,22/08/2019,Yes,Yes,Yes,Pass,Business
209,Lamond Levensky,13/08/2019,Yes,Yes,Yes,Pass,Data
210,Estevan Bartalini,21/08/2019,Yes,Yes,Yes,Pass,Engineering
211,Redford Bubbings,15/08/2019,No,Yes,Yes,Fail,Engineering
212,Redford Bubbings,15/08/2019,No,Yes,Yes,Fail,Engineering
213,Brandais Reiner,22/08/2019,Yes,Yes,Yes,Pass,Business
214,Correy Clemont,28/08/2019,Yes,No,Yes,Fail,Data
215,Starr Curcher,15/08/2019,Yes,No,Yes,Fail,Business
216,Rosaline Goldsmith,21/08/2019,Yes,Yes,Yes,Pass,Engineering
217,Chancey Climer,27/08/2019,Yes,Yes,Yes,Pass,Business
218,Gena Humbles,29/08/2019,Yes,Yes,Yes,Pass,Engineering
219,Madeleine Younglove,06/08/2019,Yes,No,Yes,Fail,Engineering
220,Leonerd Scamel,08/08/2019,No,Yes,Yes,Fail,Engineering
221,Balduin Culleton,13//08/2019,Yes,Yes,Yes,Fail,Data
222,Oliy Ellar,13/08/2019,Yes,Yes,No,Fail,Engineering
223,Carena Nizet,08/08/2019,Yes,Yes,Yes,Pass,Engineering
224,Theo Ottee,21/08/2019,Yes,Yes,Yes,Pass,Engineering
225,Britt Summergill,28/08/2019,Yes,Yes,Yes,Pass,Data
226,Nial Oret,13/08/2019,Yes,No,Yes,Fail,Data
227,Pegeen O'Lochan,15/08/2019,Yes,Yes,No,Fail,Business
228,Kingsley Hardaker,28/08/2019,Yes,Yes,Yes,Pass,Business
229,Lorine Bignall,01/08/2019,Yes,Yes,Yes,Fail,Business
230,Christian Bingley,13/08/2019,Yes,Yes,Yes,Pass,Data
231,Ad Do,21/08/2019,Yes,Yes,Yes,Pass,Engineering
232,Beret Devonside,15/08/2019,Yes,Yes,No,Fail,Business
233,Denyse Weth,22/08/2019,Yes,Yes,Yes,Pass,Business
234,Deirdre Van Den Velde,01/08/2019,Yes,Yes,Yes,Pass,Engineering
235,Bevon Mustill,15/08/2019,No,No,Yes,Fail,Engineering
236,Ruthe Adolthine,01/08/2019,Yes,Yes,No,Fail,Data
237,Vaughn Wallington,27/08/2019,Yes,Yes,Yes,Pass,Business
238,Matty Ceney,08/08/2019,Yes,Yes,Yes,Pass,Engineering
239,Rubia Espy,08/08/2019,Yes,Yes,Yes,Pass,Business
240,Meridel Dearell,21/08/2019,Yes,Yes,Yes,Pass,Data
241,Noelyn Sinkin,21/08/2019,Yes,Yes,Yes,Pass,Business
242,Mozelle Grinnov,20/08/2019,Yes,Yes,Yes,Pass,Engineering
243,Christyna Arkill,21/08/2019,Yes,Yes,Yes,Pass,Data
244,Kain Lowne,29/08/2019,Yes,Yes,Yes,Pass,Data
245,Mitchel Blackesland,14/08/2019,Yes,Yes,Yes,Pass,Data
246,Albie Lyon,22/08/2019,Yes,Yes,Yes,Pass,Data
247,Farand Rotlauf,20/08/2019,Yes,Yes,Yes,Pass,Engineering
248,Bo Fargie,28/08/2019,Yes,Yes,Yes,Pass,Engineering
249,Arch Cookley,20/08/2019,Yes,No,Yes,Fail,Engineering
250,Martica Cawse,08/08/2019,Yes,Yes,Yes,Pass,Engineering
251,Nancie Mehaffey,08/08/2019,Yes,Yes,Yes,Pass,Data
252,Donnamarie Schofield,15/08/2019,Yes,Yes,Yes,Pass,Data
253,Erda Liddel,06/08/2019,Yes,No,Yes,Fail,Business
254,Alister Bru,07/08/2019,Yes,Yes,Yes,Pass,Engineering
255,Sigismund Izkovici,15/08/2019,Yes,Yes,Yes,Pass,Engineering
256,Star Jurges,01/08/2019,Yes,Yes,Yes,Pass,Data
257,Pauly Gillbee,28/08/2019,Yes,Yes,Yes,Pass,Business
258,Stan Forkan,01/08/2019,Yes,Yes,Yes,Fail,Data
259,Brinn Trewhela,06/08/2019,Yes,Yes,Yes,Pass,Business
260,Rodrigo Endrighi,14/08/2019,Yes,Yes,Yes,Pass,Data
261,Tansy Dukelow,20/08/2019,Yes,No,Yes,Fail,Engineering
262,Sean Ovise,27/08/2019,Yes,Yes,Yes,Pass,Engineering
263,Anselma Pawlett,21/08/2019,Yes,Yes,Yes,Pass,Data
264,Kerrie Rosi,22/08/2019,Yes,Yes,Yes,Pass,Business
