id,name,date,self_development,geo_flex,financial_support_self,result,course_interest
1,stillmann castano,22/08/2019,Yes,Yes,Yes,Pass,Business
2,hilary willmore,01/08/2019,No,Yes,Yes,Fail,Data
3,efrem whipple,22/08/2019,Yes,Yes,Yes,Pass,Business
4,sydel fenne,28/08/2019,Yes,Yes,Yes,Pass,Data
5,michel lebarree,07/08/2019,Yes,Yes,Yes,Pass,Engineering
6,cooper ingraham,14/08/2019,Yes,Yes,No,Fail,Business
7,bird le count,22/08/2019,Yes,Yes,Yes,Fail,Business
8,orly lorens,01/08/2019,No,Yes,Yes,Fail,Business
9,hannah messum,29/08/2019,Yes,Yes,Yes,Fail,Data
10,gavin lambregts,21/08/2019,Yes,Yes,Yes,Pass,Data
11,letta halston,08/08/2019,Yes,Yes,Yes,Fail,Business
12,rivalee eagleton,08/08/2019,Yes,Yes,No,Fail,Engineering
13,neda marmyon,15/08/2019,Yes,Yes,Yes,Pass,Data
14,kermy caves,29/08/2019,Yes,No,Yes,Fail,Business
15,edithe dimitrov,07/08/2019,Yes,Yes,Yes,Pass,Engineering
16,aubert cicerone,06/08/2019,Yes,Yes,No,Fail,Data
17,erastus mcelrath,14/08/2019,Yes,No,No,Fail,Data
18,edgar annesley,28/08/2019,No,Yes,Yes,Fail,Data
19,haslett steet,07/08/2019,Yes,Yes,Yes,Pass,Engineering
20,kirbee clementet,08/08/2019,Yes,Yes,No,Fail,Engineering
21,marcellina ping,21/08/2019,Yes,Yes,Yes,Pass,Business
22,violet luscombe,14/08/2019,Yes,Yes,Yes,Pass,Data
23,phillis wabey,06/08/2019,Yes,Yes,Yes,Pass,Data
24,maurice yakhin,29/08/2019,Yes,Yes,Yes,Pass,Engineering
25,wesley tolerton,13/08/2019,No,Yes,Yes,Fail,Business
26,brittaney roughey,15/08/2019,Yes,Yes,Yes,Pass,Engineering
27,saree daens,15/08/2019,Yes,Yes,Yes,Pass,Engineering
28,mona willimott,08/08/2019,Yes,Yes,Yes,Pass,Engineering
29,alvie bleackly,01/08/2019,Yes,Yes,Yes,Pass,Engineering
30,drud tellenbrok,06/08/2019,Yes,Yes,Yes,Pass,Data
31,deck itzchaki,01/08/2019,Yes,Yes,Yes,Pass,Business
32,charlie danelut,14/08/2019,Yes,No,Yes,Fail,Data
33,wilt penritt,01/08/2019,No,Yes,Yes,Fail,Data
34,stevie houliston,15/08/2019,Yes,Yes,Yes,Pass,Engineering
35,fairlie cogzell,14/08/2019,Yes,Yes,Yes,Pass,Business
36,beckie aveling,22/08/2019,Yes,Yes,Yes,Fail,Business
37,axe mckall,15/08/2019,Yes,Yes,Yes,Pass,Business
38,marcela pass,27/08/2019,Yes,No,Yes,Fail,Business
39,sauncho aveson,13/08/2019,Yes,Yes,Yes,Pass,Data
40,shamus mccomish,15/08/2019,No,Yes,Yes,Fail,Engineering
41,andy lown,22/08/2019,Yes,Yes,Yes,Pass,Business
42,arny coorington,14/08/2019,Yes,Yes,Yes,Pass,Engineering
43,devondra blabey,15/08/2019,No,Yes,Yes,Fail,Engineering
44,irita lyptrit,07/08/2019,Yes,Yes,Yes,Pass,Engineering
45,jae rennolds,29/08/2019,Yes,Yes,Yes,Pass,Data
46,marion consadine,15/08/2019,Yes,Yes,Yes,Pass,Business
47,leonore pettiford,13/08/2019,Yes,Yes,Yes,Pass,Data
48,edvard northen,07/08/2019,Yes,Yes,Yes,Pass,Data
49,oralla peasgood,07/08/2019,Yes,No,Yes,Fail,Business
50,ly ferro,13/08/2019,Yes,No,Yes,Fail,Business
51,lindsey gerwood,29/08/2019,Yes,Yes,Yes,Fail,Data
52,gianna clevely,01/08/2019,Yes,Yes,Yes,Pass,Business
53,celine doree,15/08/2019,Yes,Yes,Yes,Pass,Data
54,karlene hughill,21/08/2019,Yes,Yes,Yes,Pass,Data
55,sayre webberley,14/08/2019,Yes,Yes,No,Fail,Engineering
56,phyllys baelde,15/08/2019,Yes,Yes,Yes,Pass,Data
57,samuele whear,20/08/2019,Yes,No,Yes,Fail,Business
58,darcey mordin,27/08/2019,Yes,Yes,Yes,Pass,Business
59,pamelina itzkovsky,13/08/2019,Yes,Yes,Yes,Pass,Engineering
61,laurel gillogley,21/08/2019,Yes,No,Yes,Fail,Engineering
62,quinta cowdray,28/08/2019,Yes,Yes,Yes,Pass,Engineering
63,cecile lates,15/08/2019,Yes,Yes,Yes,Fail,Engineering
64,seumas lemonby,14/08/2019,Yes,Yes,Yes,Pass,Engineering
65,gale quartley,13/08/2019,Yes,Yes,Yes,Pass,Data
66,dorrie srutton,22/08/2019,No,Yes,Yes,Fail,Engineering
67,benny tichelaar,21/08/2019,No,No,Yes,Fail,Data
68,avrit gawith,15/08/2019,Yes,Yes,Yes,Pass,Business
69,berti dennehy,22/08/2019,Yes,Yes,Yes,Fail,Data
70,rockey robarts,14/08/2019,Yes,Yes,Yes,Pass,Engineering
71,eloisa ewert,21/08/2019,Yes,Yes,No,Fail,Business
72,mireille risom,21/08/2019,Yes,Yes,Yes,Pass,Data
73,sharl daggett,22/08/2019,Yes,Yes,Yes,Pass,Engineering
74,nikolos yashin,15/08/2019,Yes,Yes,Yes,Fail,Business
75,shela mccall,14/08/2019,Yes,Yes,Yes,Fail,Engineering
76,sonnie malenfant,14/08/2019,Yes,Yes,Yes,Pass,Business
77,mahmud molineux,20/08/2019,Yes,Yes,Yes,Pass,Business
78,dylan llewellen,29/08/2019,Yes,Yes,No,Fail,Data
79,yvor phalip,01/08/2019,Yes,Yes,No,Fail,Data
80,berry freed,29/08/2019,Yes,Yes,Yes,Pass,Business
81,marielle knivett,01/08/2019,Yes,No,Yes,Fail,Business
82,emmanuel deniske,15/08/2019,Yes,Yes,Yes,Pass,Data
83,kerr coucha,07/08/2019,Yes,Yes,Yes,Pass,Data
84,dulci mcgrayle,21/08/2019,Yes,Yes,Yes,Pass,Data
85,shandee blaschke,21/08/2019,No,Yes,Yes,Fail,Engineering
86,paul chislett,14/08/2019,Yes,Yes,No,Fail,Engineering
87,florri loughton,01/08/2019,No,Yes,Yes,Fail,Engineering
88,hildy landre,08/08/2019,No,Yes,Yes,Fail,Data
89,berny botler,06/08/2019,Yes,Yes,Yes,Pass,Data
90,merell tremmil,13/08/2019,Yes,Yes,Yes,Fail,Engineering
91,ileana chewter,21/08/2019,Yes,Yes,Yes,Pass,Business
92,ilario yeates,13/08/2019,No,Yes,Yes,Fail,Engineering
93,winnie lewerenz,06/08/2019,Yes,No,Yes,Fail,Business
94,garwood strowan,20/08/2019,No,Yes,Yes,Fail,Data
95,herb mcilmorie,08/08/2019,Yes,Yes,Yes,Pass,Data
96,ingunna adin,01/08/2019,Yes,Yes,Yes,Pass,Data
97,frazier bayston,29/08/2019,Yes,No,Yes,Fail,Data
98,hewett lamputt,13/08/2019,Yes,Yes,Yes,Pass,Engineering
99,rodger bendelow,22/08/2019,Yes,Yes,Yes,Pass,Data
100,archer hobben,14/08/2019,Yes,Yes,Yes,Fail,Business
101,stephani prettyman,22/08/2019,Yes,Yes,Yes,Pass,Engineering
102,pepi bome,20/08/2019,Yes,Yes,Yes,Pass,Engineering
103,loella lonnon,06/08/2019,Yes,Yes,No,Fail,Data
104,darrin stoffel,08/08/2019,Yes,Yes,Yes,Pass,Business
105,mitchel bates,14/08/2019,Yes,Yes,No,Fail,Engineering
106,miles water,08/08/2019,Yes,Yes,Yes,Pass,Business
107,fanni polhill,28/08/2019,Yes,Yes,Yes,Fail,Engineering
108,genvieve arnke,22/08/2019,No,Yes,Yes,Fail,Business
109,alicia hruska,28/08/2019,Yes,Yes,Yes,Pass,Business
110,mella aubin,15/08/2019,Yes,Yes,Yes,Pass,Data
111,george huckstepp,06/08/2019,No,Yes,Yes,Fail,Engineering
112,joelie elfitt,29/08/2019,Yes,Yes,No,Fail,Business
113,omar rodrigo,27/08/2019,Yes,No,Yes,Fail,Engineering
114,cal loache,15/08/2019,Yes,Yes,Yes,Fail,Business
115,tully mcdoual,07/08/2019,Yes,Yes,Yes,Pass,Engineering
116,molli brayfield,22/08/2019,Yes,Yes,Yes,Pass,Data
117,janaya mawford,01/08/2019,Yes,Yes,Yes,Pass,Data
118,lazarus hooke,29/08/2019,No,Yes,Yes,Fail,Data
119,sidney le batteur,08/08/2019,Yes,Yes,Yes,Pass,Data
120,maryellen vasovic,20/08/2019,Yes,Yes,Yes,Pass,Data
121,winona rubinowitz,29/08/2019,Yes,Yes,Yes,Pass,Engineering
122,dur plom,14/08/2019,Yes,Yes,Yes,Fail,Engineering
123,gisela aisbett,15/08/2019,Yes,Yes,Yes,Pass,Engineering
124,appolonia jovis,29/08/2019,Yes,No,No,Fail,Business
125,diandra dyhouse,27/08/2019,Yes,Yes,Yes,Pass,Business
126,cornall offer,01/08/2019,Yes,No,Yes,Fail,Data
127,dominique narbett,20/08/2019,Yes,Yes,Yes,Pass,Business
128,gusti horrod,27/08/2019,Yes,Yes,Yes,Pass,Data
129,brnaby bownes,01/08/2019,Yes,Yes,Yes,Pass,Engineering
130,berky bailey,28/08/2019,Yes,Yes,Yes,Pass,Business
131,harriett saffin,28/08/2019,Yes,Yes,Yes,Pass,Business
132,pooh christy,28/08/2019,Yes,Yes,Yes,Pass,Data
133,tris landrean,29/08/2019,Yes,Yes,Yes,Pass,Data
134,derk andress,13/08/2019,Yes,Yes,Yes,Pass,Business
135,engelbert vahl,21/08/2019,Yes,Yes,Yes,Pass,Data
136,prentiss godman,20/08/2019,Yes,Yes,Yes,Fail,Engineering
137,angel hulson,14/08/2019,Yes,Yes,Yes,Fail,Business
138,mike milliere,06/08/2019,Yes,Yes,Yes,Pass,Engineering
139,gayleen petru,14/08/2019,Yes,Yes,Yes,Pass,Business
140,jozef burr,07/08/2019,Yes,Yes,Yes,Pass,Engineering
141,allina grelka,28/08/2019,Yes,Yes,Yes,Pass,Engineering
142,carr kensall,20/08/2019,Yes,No,Yes,Fail,Business
143,nil macpaike,06/08/2019,Yes,Yes,Yes,Pass,Business
144,jessie petriello,06/08/2019,Yes,Yes,Yes,Pass,Engineering
145,george o'duane,06/08/2019,Yes,Yes,Yes,Pass,Data
146,mendie mcbean,15/08/2019,Yes,Yes,Yes,Pass,Engineering
147,roze yepiskopov,21/08/2019,Yes,Yes,Yes,Pass,Engineering
148,boote moan,20/08/2019,Yes,Yes,Yes,Pass,Business
149,tito greiswood,20/08/2019,Yes,Yes,Yes,Pass,Engineering
150,reg vandenhoff,27/08/2019,Yes,Yes,Yes,Pass,Data
151,ravid leyninye,06/08/2019,Yes,Yes,Yes,Pass,Data
152,ninetta joyce,06/08/2019,Yes,Yes,Yes,Pass,Data
153,rozalin summerscales,28/08/2019,Yes,Yes,Yes,Pass,Engineering
154,rafi andrzejczak,07/08/2019,Yes,No,Yes,Fail,Business
156,mead stolting,29/08/2019,Yes,No,Yes,Fail,Data
157,chickie kezar,21/08/2019,Yes,Yes,No,Fail,Business
158,cornall wastall,15/08/2019,Yes,Yes,Yes,Pass,Engineering
159,carlin stellino,20/08/2019,Yes,Yes,No,Fail,Engineering
160,sherline cudihy,01/08/2019,Yes,Yes,Yes,Pass,Data
161,burnard fielden,21/08/2019,Yes,No,Yes,Fail,Data
162,valle humby,21/08/2019,Yes,Yes,Yes,Pass,Engineering
163,jillie howles,27/08/2019,Yes,Yes,No,Fail,Data
164,chucho galfour,13/08/2019,Yes,Yes,Yes,Pass,Engineering
165,orland glaisner,13/08/2019,Yes,Yes,Yes,Pass,Engineering
166,luz gasparro,08/08/2019,Yes,Yes,Yes,Pass,Engineering
167,melesa mault,07/08/2019,Yes,No,Yes,Fail,Data
168,trudie kiellor,06/08/2019,Yes,Yes,Yes,Pass,Data
169,nancie sazio,15/08/2019,Yes,Yes,Yes,Pass,Engineering
170,welby wishkar,14/08/2019,Yes,Yes,Yes,Fail,Business
171,carce capel,28/08/2019,No,Yes,Yes,Fail,Business
172,oralia barrat,27/08/2019,Yes,Yes,Yes,Pass,Data
173,katuscha ransfield,07/08/2019,Yes,No,Yes,Fail,Engineering
174,norene fierro,01/08/2019,Yes,No,Yes,Fail,Business
175,mylo sudell,06/08/2019,Yes,Yes,Yes,Pass,Data
176,shannon hartman,21/08/2019,Yes,Yes,Yes,Fail,Engineering
177,blakeley strood,06/08/2019,Yes,Yes,Yes,Pass,Data
178,rafi downse,21/08/2019,Yes,Yes,Yes,Pass,Engineering
179,demetrius tunstall,07/08/2019,Yes,Yes,Yes,Pass,Engineering
180,melinde darton,21/08/2019,Yes,Yes,Yes,Pass,Business
181,dulcea perl,22/08/2019,Yes,Yes,Yes,Pass,Engineering
182,milton conaghan,08/08/2019,Yes,Yes,Yes,Pass,Engineering
183,chere siddens,29/08/2019,No,Yes,No,Fail,Business
184,putnem hessing,08/08/2019,Yes,Yes,Yes,Pass,Data
185,timmi haveline,22/08/2019,Yes,Yes,Yes,Pass,Business
186,garald banasevich,08/08/2019,Yes,Yes,Yes,Pass,Data
187,anselma pavelin,21/08/2019,Yes,Yes,Yes,Fail,Business
188,querida antonacci,29/08/2019,Yes,Yes,Yes,Pass,Data
189,leda aharoni,13/08/2019,Yes,Yes,Yes,Pass,Business
190,norri temby,27/08/2019,Yes,Yes,Yes,Pass,Engineering
191,margery winspur,07/08/2019,Yes,Yes,Yes,Pass,Data
192,bord ollin,14/08/2019,Yes,Yes,No,Fail,Business
193,dodie lassells,27/08/2019,Yes,Yes,Yes,Pass,Data
194,corie snodin,22/08/2019,Yes,Yes,No,Fail,Data
195,arron cuerdall,08/08/2019,Yes,Yes,Yes,Pass,Engineering
196,josh youens,08/08/2019,Yes,Yes,Yes,Pass,Engineering
197,aldo bradnum,27/08/2019,Yes,Yes,Yes,Pass,Engineering
198,xymenes pretor,07/08/2019,Yes,Yes,Yes,Pass,Engineering
199,heinrik allwell,08/08/2019,Yes,Yes,Yes,Pass,Business
200,bob rogerson,07/08/2019,Yes,Yes,Yes,Pass,Data
201,neall mayor,07/08/2019,Yes,Yes,No,Fail,Data
202,ilysa kiggel,07/08/2019,Yes,Yes,Yes,Pass,Data
203,melisse craze,20/08/2019,Yes,Yes,Yes,Fail,Data
204,petronille dougharty,29/08/2019,No,Yes,Yes,Fail,Business
205,urbano reinisch,13/08/2019,Yes,Yes,Yes,Pass,Engineering
206,noami edworthye,20/08/2019,No,Yes,Yes,Fail,Business
207,cynthia jenny,06/08/2019,Yes,No,Yes,Fail,Business
208,ivett prop,22/08/2019,Yes,Yes,Yes,Pass,Business
209,lamond levensky,13/08/2019,Yes,Yes,Yes,Pass,Data
210,estevan bartalini,21/08/2019,Yes,Yes,Yes,Pass,Engineering
211,redford bubbings,15/08/2019,No,Yes,Yes,Fail,Engineering
213,brandais reiner,22/08/2019,Yes,Yes,Yes,Pass,Business
214,correy clemont,28/08/2019,Yes,No,Yes,Fail,Data
215,starr curcher,15/08/2019,Yes,No,Yes,Fail,Business
216,rosaline goldsmith,21/08/2019,Yes,Yes,Yes,Pass,Engineering
217,chancey climer,27/08/2019,Yes,Yes,Yes,Pass,Business
218,gena humbles,29/08/2019,Yes,Yes,Yes,Pass,Engineering
219,madeleine younglove,06/08/2019,Yes,No,Yes,Fail,Engineering
220,leonerd scamel,08/08/2019,No,Yes,Yes,Fail,Engineering
221,balduin culleton,13//08/2019,Yes,Yes,Yes,Fail,Data
222,oliy ellar,13/08/2019,Yes,Yes,No,Fail,Engineering
223,carena nizet,08/08/2019,Yes,Yes,Yes,Pass,Engineering
224,theo ottee,21/08/2019,Yes,Yes,Yes,Pass,Engineering
225,britt summergill,28/08/2019,Yes,Yes,Yes,Pass,Data
226,nial oret,13/08/2019,Yes,No,Yes,Fail,Data
227,pegeen o'lochan,15/08/2019,Yes,Yes,No,Fail,Business
228,kingsley hardaker,28/08/2019,Yes,Yes,Yes,Pass,Business
229,lorine bignall,01/08/2019,Yes,Yes,Yes,Fail,Business
230,christian bingley,13/08/2019,Yes,Yes,Yes,Pass,Data
231,ad do,21/08/2019,Yes,Yes,Yes,Pass,Engineering
232,beret devonside,15/08/2019,Yes,Yes,No,Fail,Business
233,denyse weth,22/08/2019,Yes,Yes,Yes,Pass,Business
234,deirdre van den velde,01/08/2019,Yes,Yes,Yes,Pass,Engineering
235,bevon mustill,15/08/2019,No,No,Yes,Fail,Engineering
236,ruthe adolthine,01/08/2019,Yes,Yes,No,Fail,Data
237,vaughn wallington,27/08/2019,Yes,Yes,Yes,Pass,Business
238,matty ceney,08/08/2019,Yes,Yes,Yes,Pass,Engineering
239,rubia espy,08/08/2019,Yes,Yes,Yes,Pass,Business
240,meridel dearell,21/08/2019,Yes,Yes,Yes,Pass,Data
241,noelyn sinkin,21/08/2019,Yes,Yes,Yes,Pass,Business
242,mozelle grinnov,20/08/2019,Yes,Yes,Yes,Pass,Engineering
243,christyna arkill,21/08/2019,Yes,Yes,Yes,Pass,Data
244,kain lowne,29/08/2019,Yes,Yes,Yes,Pass,Data
245,mitchel blackesland,14/08/2019,Yes,Yes,Yes,Pass,Data
246,albie lyon,22/08/2019,Yes,Yes,Yes,Pass,Data
247,farand rotlauf,20/08/2019,Yes,Yes,Yes,Pass,Engineering
248,bo fargie,28/08/2019,Yes,Yes,Yes,Pass,Engineering
249,arch cookley,20/08/2019,Yes,No,Yes,Fail,Engineering
250,martica cawse,08/08/2019,Yes,Yes,Yes,Pass,Engineering
251,nancie mehaffey,08/08/2019,Yes,Yes,Yes,Pass,Data
252,donnamarie schofield,15/08/2019,Yes,Yes,Yes,Pass,Data
253,erda liddel,06/08/2019,Yes,No,Yes,Fail,Business
254,alister bru,07/08/2019,Yes,Yes,Yes,Pass,Engineering
255,sigismund izkovici,15/08/2019,Yes,Yes,Yes,Pass,Engineering
256,star jurges,01/08/2019,Yes,Yes,Yes,Pass,Data
257,pauly gillbee,28/08/2019,Yes,Yes,Yes,Pass,Business
258,stan forkan,01/08/2019,Yes,Yes,Yes,Fail,Data
259,brinn trewhela,06/08/2019,Yes,Yes,Yes,Pass,Business
260,rodrigo endrighi,14/08/2019,Yes,Yes,Yes,Pass,Data
261,tansy dukelow,20/08/2019,Yes,No,Yes,Fail,Engineering
262,sean ovise,27/08/2019,Yes,Yes,Yes,Pass,Engineering
263,anselma pawlett,21/08/2019,Yes,Yes,Yes,Pass,Data
264,kerrie rosi,22/08/2019,Yes,Yes,Yes,Pass,Business
265,dorothy hailwood,15/08/2019,Yes,No,Yes,Fail,Business
266,jodie kaygill,01/08/2019,Yes,Yes,Yes,Pass,Data
267,jim dwerryhouse,27/08/2019,Yes,Yes,Yes,Pass,Business
268,delinda conybear,01/08/2019,Yes,Yes,Yes,Pass,Data
269,norby burle,21/08/2019,No,No,Yes,Fail,Business
270,robinet renwick,15/08/2019,Yes,Yes,Yes,Pass,Business
271,perry richemond,08/08/2019,Yes,Yes,Yes,Pass,Data
272,carlyn reisin,14/08/2019,Yes,Yes,Yes,Pass,Business
273,horatius starking,08/08/2019,Yes,Yes,No,Fail,Business
274,leoline vigietti,07/08/2019,Yes,Yes,Yes,Pass,Business
275,rudolf maple,21/08/2019,Yes,Yes,Yes,Pass,Data
276,alwin bullman,07/08/2019,Yes,Yes,Yes,Pass,Data
277,shae ainslie,15/08/2019,Yes,Yes,Yes,Pass,Business
278,ciel poizer,14/08/2019,No,Yes,Yes,Fail,Business
279,matteo yeowell,01/08/2019,Yes,Yes,Yes,Pass,Business
280,saundra fuzzens,28//08/2019,Yes,Yes,Yes,Fail,Business
281,denise oppy,21/08/2019,Yes,Yes,Yes,Pass,Engineering
282,didi stronough,29/08/2019,Yes,Yes,Yes,Pass,Engineering
